Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-S1","VPCStack/AWSSigurdAccessLogsBucket/Resource","Suppressed","S3 server access logs not required for prototype","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","VPCStack/AWSSigurdAccessLogsBucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","VPCStack/AWSSigurdAccessLogsBucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","VPCStack/AWSSigurdAccessLogsBucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","VPCStack/AWSSigurdAccessLogsBucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-VPC7","VPCStack/VPC/Vpc/Resource","Compliant","N/A","Error","The VPC does not have an associated Flow Log."
"AwsSolutions-IAM4","VPCStack/VPC/FlowLogRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","VPCStack/VPC/FlowLogRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","VPCStack/VPC/FlowLogRole/DefaultPolicy/Resource","Suppressed","[Action::s3:Abort*] IAM wildcard allowed","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","VPCStack/VPC/FlowLogRole/DefaultPolicy/Resource","Suppressed","[Action::s3:DeleteObject*] IAM wildcard allowed","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","VPCStack/VPC/FlowLogRole/DefaultPolicy/Resource","Suppressed","[Resource::<AWSSigurdAccessLogsBucket54494AE9.Arn>/VpcFlowLogs/*] IAM wildcard allowed","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
